page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
96.0,,107.0,110.0,,,,,,,,,,,,,,,,,,,,,,
97.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,111.0,113.0,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,0,,,,,,,,,,,,,,,,,,
102.0,,116.0,,,,,0,,,,,,,,,,,,,,,,,,
103.0,0.0,,,,,,0,,,,,,,,,,,,,,,,,,
104.0,,,,,,,0,,,,,,,,,,,,,,,,,,
105.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,,,0,,,,,,,,,,,,,,,,,,
107.0,0.0,,,,,,0,,,,,,,,,,,,,,,,,,
108.0,s,109.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,s,,,,,,0,,,,,,,,,,,,,,,,,,
110.0,,,,,,,0,,,,,,,,,,,,,,,,,,
111.0,,,,,,,0,,,,,,,,,,,,,,,,,,
112.0,f,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,,,,0,,,,,,,,,,,,,,,,,,
114.0,,,,,,,0,,,,,,,,,,,,,,,,,,
115.0,,,,,,,0,,,,,,,,,,,,,,,,,,
116.0,,,,,,,0,,,,,,,,,,,,,,,,,,
117.0,,,,,,,0,,,,,,,,,,,,,,,,,,
118.0,0.0,,,,,,0,,,,,,,,,,,,,,,,,,
119.0,,,,,,,0,,,,,,,,,,,,,,,,,,
120.0,0.0,,,,,,0,,,,,,,,,,,,,,,,,,
121.0,,,,,,,0,,,,,,,,,,,,,,,,,,
