page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
99.0,,93.0,108.0,,,,,,,,,,,,,,,,,,,,,,
100.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,f,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,109.0,87.0,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,91.0,102.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,0,,,,,,,,,,,,,,,,,,,,,
109.0,,116.0,82.0,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,0,,,,,,,,,,,,,,,,,,,,,
111.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,,86.0,57.0,,,,,,,,,,,,,,,,,,,,,,
113.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,,,,0,,,,,,,,,,,,,,,,,,,,,
