page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
98.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,,0,,,,,,,,,,,,,,,,,,,
100.0,,147.0,104.0,,,,,,,,,,,,,,,,,,,,,,
101.0,f,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,f,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,90.0,124.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,0,,,,,,,,,,,,,,,,,,,
111.0,,94.0,108.0,,,,,,,,,,,,,,,,,,,,,,
112.0,,150.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,43.0,86.0,,,,,,,,,,,,,,,,,,,,,,
114.0,,122.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,118.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,,123.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,,119.0,,,,,,,,,,,,,,,,,,,,,,,
119.0,,93.0,125.0,,,,,,,,,,,,,,,,,,,,,,
120.0,s,121.0,,,,,,,,,,,,,,,,,,,,,,,
121.0,s,110.0,,,,,,,,,,,,,,,,,,,,,,,
122.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
123.0,,162.0,,,,,,,,,,,,,,,,,,,,,,,
124.0,,,,,,0,,,,,,,,,,,,,,,,,,,
125.0,,129.0,,,,,,,,,,,,,,,,,,,,,,,
126.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
127.0,f,,,,,,,,,,,,,,,,,,,,,,,,
128.0,,134.0,,,,,,,,,,,,,,,,,,,,,,,
129.0,,137.0,,,,,,,,,,,,,,,,,,,,,,,
130.0,,131.0,,,,,,,,,,,,,,,,,,,,,,,
131.0,,143.0,,,,,,,,,,,,,,,,,,,,,,,
132.0,s,133.0,,,,,,,,,,,,,,,,,,,,,,,
133.0,s,152.0,,,,,,,,,,,,,,,,,,,,,,,
134.0,,139.0,,,,,,,,,,,,,,,,,,,,,,,
135.0,,,,,,0,,,,,,,,,,,,,,,,,,,
136.0,s,,,,,,,,,,,,,,,,,,,,,,,,
137.0,s,138.0,,,,,,,,,,,,,,,,,,,,,,,
138.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
139.0,,99.0,85.0,,,,,,,,,,,,,,,,,,,,,,
140.0,,39.0,132.0,,,,,,,,,,,,,,,,,,,,,,
141.0,,157.0,,,,,,,,,,,,,,,,,,,,,,,
142.0,f,,,,,,,,,,,,,,,,,,,,,,,,
143.0,,,,,,0,,,,,,,,,,,,,,,,,,,
144.0,,145.0,,,,,,,,,,,,,,,,,,,,,,,
145.0,,25.0,44.0,,,,,,,,,,,,,,,,,,,,,,
146.0,,,,,,0,,,,,,,,,,,,,,,,,,,
147.0,,,,,,0,,,,,,,,,,,,,,,,,,,
148.0,,,,,,0,,,,,,,,,,,,,,,,,,,
149.0,f,,,,,,,,,,,,,,,,,,,,,,,,
150.0,,151.0,,,,,,,,,,,,,,,,,,,,,,,
