page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
99.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,f,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,11.0,78.0,,,,,,,,,,,,,,,,,,,,,,
106.0,f,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,0,,,,,,,,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
