page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
98.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,32.0,116.0,,,,,,,,,,,,,,,,,,,,,,
102.0,,62.0,83.0,,,,,,,,,,,,,,,,,,,,,,
103.0,,61.0,81.0,,,,,,,,,,,,,,,,,,,,,,
104.0,0.0,105.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,0,,,,,,,,,,,,,,,,,,,,
107.0,,,,,0,,,,,,,,,,,,,,,,,,,,
108.0,,54.0,69.0,,,,,,,,,,,,,,,,,,,,,,
109.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,0,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,84.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,
114.0,0.0,115.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
116.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,,0,,,,,,,,,,,,,,,,,,,,
