page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,0,,,,,,,,,,,,,,,,,,,,,
102.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,f,,,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,0,,,,,,,,,,,,,,,,,,,,,
105.0,,,,0,,,,,,,,,,,,,,,,,,,,,
106.0,,,,0,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,f,,,,,,,,,,,,,,,,,,,,,,,,
109.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,0,,,,,,,,,,,,,,,,,,,,,
112.0,,,,0,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
116.0,,,,0,,,,,,,,,,,,,,,,,,,,,
117.0,f,,,,,,,,,,,,,,,,,,,,,,,,
