page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,f,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,104.0,105.0,,,,,,,,,,,,,,,,,,,,,,
101.0,f,,,0,,x,,,,,,,,,,,,,,,,,,,
102.0,s,103.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,s,106.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,0.0,96.0,108.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,0,x,,,,,,,,,,,,,,,,,,,,
106.0,,,,0,,,,,x,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,s,,,0,,x,,,,,,,,,,,,,,,,,,,
109.0,s,,,,,,,,,,,,,,,,,,,,,,,,
