page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,,90.0,104.0,,,,,,,,,,,,,,,,,,,,,,
99.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
100.0,,,,0,,,,,,,,,,,,,,,,,,,,,
101.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,,,0,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,0,,,,,,,,,,,,,,,,,,,,,
109.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,,,,0,,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,0,,,,,,,,,,,,,,,,,,,,,
