page,illo,c1,c2,c3,score,restore,,,,,,,,,,,,,,,,,,,
102.0,,107.0,108.0,,,,,,,,,,,,,,,,,,,,,,
103.0,0.0,104.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,109.0,111.0,,,,,,,,,,,,,,,,,,,,,,
107.0,0.0,,,,8,97,,,,,,,,,,,,,,,,,,,
108.0,0.0,,,,8,97,,,,,,,,,,,,,,,,,,,
109.0,,,,,8,106,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,f,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,114.0,123.0,,,,,,,,,,,,,,,,,,,,,,
114.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,,119.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,f,,,,,,,,,,,,,,,,,,,,,,,,
119.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,
120.0,0.0,121.0,,,,,,,,,,,,,,,,,,,,,,,
121.0,,125.0,,,,,,,,,,,,,,,,,,,,,,,
122.0,f,,,,,,,,,,,,,,,,,,,,,,,,
123.0,,,,,9,113,,,,,,,,,,,,,,,,,,,
124.0,0.0,,,,-1,,,,,,,,,,,,,,,,,,,,
125.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,
126.0,0.0,,,,10,,,,,,,,,,,,,,,,,,,,
