page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,f,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,103.0,112.0,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,0,,,,,,,,,,,,,,,,,,,,,
101.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,f,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,115.0,106.0,,,,,,,,,,,,,,,,,,,,,,
106.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,110.0,108.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,102.0,99.0,,,,,,,,,,,,,,,,,,,,,,
109.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,109.0,101.0,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,0,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
114.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,,,,0,,,,,,,,,,,,,,,,,,,,,
