page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
80.0,,,,,,,you meet a girl from the near future and attempt to lead her back to your time but overshoot by 4 billion years,x,,,,,,,,,,,,,,,,,
81.0,,,,,,,"after proving your Stone Age mettle by slaying a wolf, you fall into a ravine and awake back in your own time to learn you merely hit your head and had been unconscious",,,x,,,,,,,,,,,,,,,
82.0,0.0,,,,,,you are conscripted into forced labor building the Great Wall of China,,x,,,,,,,,,,,,,,,,
83.0,,85.0,84.0,,,,,,,,,,,,,,,,,,,,,,
84.0,0.0,,,,,,stumble into a saber-toothed tiger’s den,x,,,,,,,,,,,,,,,,,
85.0,,,,,,,you are accepted by the tribe but awake the next day in your own time—was it all a dream?,,,,x,,,,,,,,,,,,,,
86.0,0.0,,,,,,you flee the Titanic and are trapped in a bomb shelter during The Blitz,,x,,,,,,,,,,,,,,,,
87.0,,,,,,,marooned on a reef in an endless ocean,x,,,,,,,,,,,,,,,,,
88.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
89.0,,90.0,91.0,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,you return to the precise instant you departed from but richer for your experience,,,,x,,,,,,,,,,,,,,
91.0,0.0,,,,,,you flee a triceratops and meet your end after bumping into a T. Rex,x,,,,,,,,,,,,,,,,,
92.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,
93.0,,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,
94.0,,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,
95.0,f,,,,,,,,,,,,,,,,,,,,,,,,
96.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,
97.0,0.0,,,,,,you meet Abe Lincoln and are taken in by a kind farming family near Gettysberg,,,,x,,,,,,,,,,,,,,
98.0,0.0,99.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,,,"you live out your life in the past as a carpenter, journalist, and world traveller and die shortly before you were born",,,,,x,,,,,,,,,,,,,
100.0,,,,,,,you bid Lincoln farewell before Gettysberg and follow the family that adopts you westward to California,,,,,x,,,,,,,,,,,,,
101.0,,,,,,,the tunnel leads to a pre-historic Earth that has not yet formed an atmosphere and you suffocate,x,,,,,,,,,,,,,,,,,
102.0,,,,,,,rather than live forever in the timeless space of the cave you return to your loved ones (just in time for dinner),,,,x,,,,,,,,,,,,,,
103.0,,,,,,,you give the dinosaur egg to a zoologist and eagerly await news of its hatching,,,,x,,,,,,,,,,,,,,
104.0,0.0,105.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,107.0,109.0,,,,,,,,,,,,,,,,,,,,,,
106.0,,111.0,113.0,,,,,,,,,,,,,,,,,,,,,,
107.0,0.0,108.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,0.0,,,,,,"you spend your life at sea, eventually captaining your own tall ship",,,,,x,,,,,,,,,,,,,
109.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,you become a printer and publish an 18th century newspaper ,,,,,x,,,,,,,,,,,,,
111.0,0.0,112.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,,,,you save your tubercular friend by leading him back to your own time (and the wonders of its medical system),,,,x,,,,,,,,,,,,,,
113.0,,,,,,,the judge dismisses the case against you and takes you in,,,,x,,,,,,,,,,,,,,
114.0,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,,,,,,,you fall asleep in the spacecraft but awaken back in the cave. when you revisit it years later you are quietly relieved to discover it has been sealed,,,,x,,,,,,,,,,,,,,
