page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
95.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
96.0,,,,,0,,,,,,,,,,,,,,,,,,,,
97.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
99.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
100.0,s,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,s,,,,0,,,,,,,,,,,,,,,,,,,,
102.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,f,,,,,,,,,,,,,,,,,,,,,,,,
104.0,0.0,106.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,0,,,,,,,,,,,,,,,,,,,,
106.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
107.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
108.0,,,,,0,,,,,,,,,,,,,,,,,,,,
109.0,0.0,38.0,112.0,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,0,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,,0,,,,,,,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
