page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
104.0,,97.0,98.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,0,,,,,,,,,,,,,,,,,,,,
106.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
107.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,f,,,,,,,,,,,,,,,,,,,,,,,,
109.0,,,,,0,,,,,,,,,,,,,,,,,,,,
110.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,,113.0,6.0,,,,,,,,,,,,,,,,,,,,,,
113.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,0,,,,,,,,,,,,,,,,,,,,
115.0,,74.0,75.0,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,0,,,,,,,,,,,,,,,,,,,,
