page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,,,,0,x,,,,,,,,,,,,,,,,,,,
98.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
99.0,0.0,,,,0,x,,,,,,,,,,,,,,,,,,,
100.0,,,,,0,,,,x,,,,,,,,,,,,,,,,
101.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,s,103.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,s,104.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
105.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
107.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,,105.0,97.0,,,,,,,,,,,,,,,,,,,,,,
109.0,f,,,,,,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,
112.0,,42.0,43.0,,,,,,,,,,,,,,,,,,,,,,
113.0,,69.0,67.0,,,,,,,,,,,,,,,,,,,,,,
114.0,,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
117.0,,38.0,8.0,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
