page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,f,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,0,,,,,,,,,,,,,,,,,,,,,
100.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,s,,,,,,,,,,,,,,,,,,,,,,,,
105.0,s,17.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,f,,,,,,,,,,,,,,,,,,,,,,,,
109.0,,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,0,,,,,,,,,,,,,,,,,,,,,
112.0,,,,0,,,,,,,,,,,,,,,,,,,,,
113.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,f,,,,,,,,,,,,,,,,,,,,,,,,
115.0,,,,0,,,,,,,,,,,,,,,,,,,,,
116.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,,,,0,,,,,,,,,,,,,,,,,,,,,
