page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
99.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,53.0,95.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,62.0,15.0,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
