page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
98.0,f,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,0,,,,,,,,,,,,,,,,,,,,
100.0,,,,,0,,,,,,,,,,,,,,,,,,,,
101.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,68.0,108.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,0,,,,,,,,,,,,,,,,,,,,
106.0,,,,,0,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,0.0,24.0,43.0,,,,,,,,,,,,,,,,,,,,,,
109.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,0,,,,,,,,,,,,,,,,,,,,
112.0,,,,,0,,,,,,,,,,,,,,,,,,,,
113.0,,,,,0,,,,,,,,,,,,,,,,,,,,
114.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,,,,,0,,,,,,,,,,,,,,,,,,,,
116.0,,,,,0,,,,,,,,,,,,,,,,,,,,
117.0,f,,,,,,,,,,,,,,,,,,,,,,,,
