page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,,,,0,,,,,,,,,,,,,,,,,,,,
98.0,f,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,105.0,107.0,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,0,,,,,,,,,,,,,,,,,,,,
101.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,,0,,,,,,,,,,,,,,,,,,,,
105.0,,,,,0,,,,,,,,,,,,,,,,,,,,
106.0,f,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,110.0,112.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,,0,,,,,,,,,,,,,,,,,,,,
109.0,0.0,113.0,50.0,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,0,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,,0,,,,,,,,,,,,,,,,,,,,
113.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,0,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,0,,,,,,,,,,,,,,,,,,,,
117.0,f,,,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,,0,,,,,,,,,,,,,,,,,,,,
