page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,0,,,,,,,,,,,,,,,,,,,,,
107.0,,76.0,95.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,0,,,,,,,,,,,,,,,,,,,,,
109.0,,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,,,,0,,,,,,,,,,,,,,,,,,,,,
111.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,
112.0,f,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
