page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
99.0,,,,0,,,,,,,,,,,,,,,,,,,,,
100.0,s,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,s,,,0,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,f,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,118.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,0,,,,,,,,,,,,,,,,,,,,,
108.0,,,,0,,,,,,,,,,,,,,,,,,,,,
109.0,,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,0,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,,,,0,,,,,,,,,,,,,,,,,,,,,
116.0,f,,,,,,,,,,,,,,,,,,,,,,,,
117.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,0,,,,,,,,,,,,,,,,,,,,,
119.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,
120.0,,121.0,,,,,,,,,,,,,,,,,,,,,,,
121.0,,57.0,119.0,,,,,,,,,,,,,,,,,,,,,,
