page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,69.0,115.0,,,,,,,,,,,,,,,,,,,,,,
98.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
100.0,,,,,0,,,,,,,,,,,,,,,,,,,,
101.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,86.0,98.0,,,,,,,,,,,,,,,,,,,,,,
103.0,,77.0,108.0,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,,0,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,66.0,76.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,14.0,28.0,,,,,,,,,,,,,,,,,,,,,,
110.0,s,111.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,s,102.0,107.0,,,,,,,,,,,,,,,,,,,,,,
112.0,,91.0,96.0,,,,,,,,,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,92.0,61.0,,,,,,,,,,,,,,,,,,,,,,
115.0,,99.0,101.0,,,,,,,,,,,,,,,,,,,,,,
116.0,f,,,,,,,,,,,,,,,,,,,,,,,,
117.0,,,,,0,,,,,,,,,,,,,,,,,,,,
118.0,,,,,0,,,,,,,,,,,,,,,,,,,,
