page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
97.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
99.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,s,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,s,103.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,0.0,107.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,0,,,,,,,,,,,,,,,,,,,,,
108.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,77.0,80.0,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,0,,,,,,,,,,,,,,,,,,,,,
112.0,s,113.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,s,114.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
