page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,,0,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,105.0,19.0,,,,,,,,,,,,,,,,,,,,,,
104.0,,111.0,84.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,94.0,29.0,,,,,,,,,,,,,,,,,,,,,,
106.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,0,,,,,,,,,,,,,,,,,,,,
112.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,58.0,40.0,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,0,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
