page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,,,,0,,,,,,,,,,,,,,,,,,,,,
99.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,f,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,0,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
105.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,111.0,84.0,,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,98.0,72.0,,,,,,,,,,,,,,,,,,,,,,
110.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,0,,,,,,,,,,,,,,,,,,,,,
112.0,f,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
