page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
98.0,s,99.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,s,102.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,0,,,,,,,,,,,,,,,,,,,,,
101.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,0,,,,,,,,,,,,,,,,,,,,,
103.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,113.0,50.0,,,,,,,,,,,,,,,,,,,,,,
106.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,0.0,51.0,115.0,,,,,,,,,,,,,,,,,,,,,,
108.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
109.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,s,111.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,s,,,0,,,,,,,,,,,,,,,,,,,,,
112.0,f,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,0,,,,,,,,,,,,,,,,,,,,,
114.0,,,,0,,,,,,,,,,,,,,,,,,,,,
115.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
116.0,s,117.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,s,,,0,,,,,,,,,,,,,,,,,,,,,
118.0,,,,0,,,,,,,,,,,,,,,,,,,,,
