page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
99.0,,,,0,,,,,,,,,,,,,,,,,,,,,
100.0,f,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,68.0,87.0,,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,64.0,91.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,f,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,0,,,,,,,,,,,,,,,,,,,,,
111.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,
