page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
98.0,,54.0,21.0,,,,,,,,,,,,,,,,,,,,,,
99.0,f,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,0,,,,,,,,,,,,,,,,,,,
101.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,s,103.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,s,,,,,0,,,,,,,,,,,,,,,,,,,
104.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,0.0,107.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,19.0,29.0,,,,,,,,,,,,,,,,,,,,,,
108.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,,,,,,0,,,,,,,,,,,,,,,,,,,
110.0,f,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,,0,,,,,,,,,,,,,,,,,,,
112.0,,114.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,27.0,23.0,,,,,,,,,,,,,,,,,,,,,,
114.0,s,115.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,s,,,,,0,,,,,,,,,,,,,,,,,,,
