page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,,,,0,,,,,,,,,,,,,,,,,,,,
98.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
100.0,,,,,0,,,,,,,,,,,,,,,,,,,,
101.0,f,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,0,,,,,,,,,,,,,,,,,,,,
103.0,,,,,0,,,,,,,,,,,,,,,,,,,,
104.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,0,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,,0,,,,,,,,,,,,,,,,,,,,
109.0,,,,,0,,,,,,,,,,,,,,,,,,,,
110.0,,,,,0,,,,,,,,,,,,,,,,,,,,
111.0,f,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,,0,,,,,,,,,,,,,,,,,,,,
114.0,,,,,0,,,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,
118.0,,,,,0,,,,,,,,,,,,,,,,,,,,
