page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
98.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,16.0,56.0,,,,,,,,,,,,,,,,,,,,,,
100.0,,110.0,42.0,,,,,,,,,,,,,,,,,,,,,,
101.0,f,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
103.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,3.0,74.0,,,,,,,,,,,,,,,,,,,,,,
106.0,f,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
108.0,,,,,0,x,,,,,,,,,,,,,,,,,,,
109.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,52.0,66.0,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
113.0,0.0,,,,0,,x,,,,,,,,,,,,,,,,,,
114.0,s,115.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,s,63.0,,,,,,,,,,,,,,,,,,,,,,,
116.0,f,,,,,,,,,,,,,,,,,,,,,,,,
117.0,,,,,0,,,,x,,,,,,,,,,,,,,,,
118.0,,,,,,,,,,,,,,,,,,,,,,,,,
