page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
97.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
100.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,0,,,,x,,,,,,,,,,,,,,,,
103.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
104.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
105.0,f,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,,0,,,x,,,,,,,,,,,,,,,,,
108.0,f,,,,,,,,,,,,,,,,,,,,,,,,
109.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,0,,,,,x,,,,,,,,,,,,,,,
112.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,0,,x,,,,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,0,x,,,,,,,,,,,,,,,,,,,
