page,illo,c1,c2,details,death,bad,ok,good,win,,,,,,,,,,,,,,,,
99.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,0,,,,,,,,,,,,,,,,,,,,,
104.0,,6.0,73.0,,,,,,,,,,,,,,,,,,,,,,
105.0,,112.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,,118.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,f,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,0,,,,,,,,,,,,,,,,,,,,,
109.0,,,,0,,,,,,,,,,,,,,,,,,,,,
110.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,63.0,116.0,,,,,,,,,,,,,,,,,,,,,,
112.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,,103.0,86.0,,,,,,,,,,,,,,,,,,,,,,
116.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,
117.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,0,,,,,,,,,,,,,,,,,,,,,
