page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
81.0,,,,,,,"you demand Mrs. Bigley release your cousin and she does so, dying in the process.",,,,x,,,,,,,,,,,,,,
82.0,0.0,,,,,,you bump your head while running down the stairs to your escape. When you return home you discover that you bear the mark of the witch’s curse,,x,,,,,,,,,,,,,,,,
83.0,,,,,,,you free the ghost from the witch’s curse and escape to safety,,,,x,,,,,,,,,,,,,,
84.0,,,,,,,"you mistake Michael for a ghost and hit him over the head, then the two of you are buried alive while trying to escape through a tunnel",x,,,,,,,,,,,,,,,,,
85.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,
86.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,
87.0,f,,,,,,,,,,,,,,,,,,,,,,,,
88.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,,you and Michael barely make it through the tunnel before it caves in and discover Jane who’s sprained her ankle but also survived,,,,x,,,,,,,,,,,,,,
90.0,,,,,,,you are trapped in the cedar closet and air is running out,x,,,,,,,,,,,,,,,,,
91.0,0.0,,,,,,the policeman mistakes you for a ghost and dies of a heart attack,,x,,,,,,,,,,,,,,,,
92.0,,,,,,,you slash your hand while trying to break out through the window. Michael stops the bleeding and gets you to the hospital but a scar will always remind you of your ordeal,,,x,,,,,,,,,,,,,,,
93.0,,,,,,,you investigate the cavern behind the fireplace before escaping but are hospitalized with pneumonia for weeks afterward,,,x,,,,,,,,,,,,,,,
94.0,0.0,,,,,,you discover taxidermied mouse next to a plaque identifying it as Horace Bigley. You begin to fear the worst has befallen Jane,,x,,,,,,,,,,,,,,,,
95.0,,106.0,108.0,,,,,,,,,,,,,,,,,,,,,,
96.0,0.0,,,,,,"you discover the book The Curse of Chimney Rock in a box in the attic. After reading that people “mysteriously disappear” in the house, you notice that you’re rapidly shrinking and about to become one of those very disappearances",,x,,,,,,,,,,,,,,,,
97.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,0.0,,,,,,"you charge at the cat only to discover that a) it’s enormous, and b) this is not a dream after all",x,,,,,,,,,,,,,,,,,
99.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,"you desperately leap out the window, breaking your arm, and are quickly discovered by Michael and a policeman",,,x,,,,,,,,,,,,,,,
102.0,,71.0,103.0,,,,,,,,,,,,,,,,,,,,,,
103.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,f,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,,,you find a metal door in the darkness and manage to wriggle your way up the coal chute to safety,,,,x,,,,,,,,,,,,,,
106.0,0.0,119.0,,,,,a pair of ghostly eyes and disembodied voice warns you to leave immediately and never look back or share its fate,,,x,,,,,,,,,,,,,,,
107.0,0.0,,,,,,you wake up in an enormous room next to a mouse the same size as you,,x,,,,,,,,,,,,,,,,
108.0,,,,,,,you climb out the window to escape the cat and attempt to leap to the roof below but lose your balance and fall to your death,x,,,,,,,,,,,,,,,,,
109.0,f,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,111.0,112.0,113.0,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,,,after breaking the curse and leaving the house you look back to discover it has vanished. At your feet is the black cat who has apparently chosen you as its new owner entitling you to an uncertain ‘reward’,,,x,,,,,,,,,,,,,,,
112.0,,114.0,116.0,,,,,,,,,,,,,,,,,,,,,,
113.0,,120.0,121.0,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,,,you seek out the family’s lawyer to learn about the reward for breaking the curse and learn that the house would be yours … if only you hadn’t let the cat go,,,x,,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,,,you learn that the cat has vanished and chimney rock is to be converted into apartments,,,,x,,,,,,,,,,,,,,
117.0,0.0,,,,,,you dart past the witch and lock her in the tomb behind you on your way to safety,,,x,,,,,,,,,,,,,,,
118.0,,,,,,,you back away from the witch but lose your balance and take your place among the other victims of the curse,x,,,,,,,,,,,,,,,,,
119.0,,,,,,,"you look back at the house, failing to heed the spirit’s warning, and fall to your doom",x,,,,,,,,,,,,,,,,,
120.0,,,,,,,you learn from Jane that since she and Michael were willing to become the cat’s new owners Mrs. Bigley’s will left the house to them!,,,,x,,,,,,,,,,,,,,
121.0,,,,,,,you take the cat with you and learn later that Mrs. Bigley’s will entitles you to sole ownership of chimney rock. You’re rich!,,,,,x,,,,,,,,,,,,,
