page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
90.0,,,,,,,0,x,,,,,,,,,,,,,,,,,
91.0,0.0,,,,,,0,,,x,,,,,,,,,,,,,,,
92.0,,97.0,98.0,102.0,,,,,,,,,,,,,,,,,,,,,
93.0,0.0,,,,,,0,x,,,,,,,,,,,,,,,,,
94.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,
95.0,0.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,
96.0,f,,,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,,0,,x,,,,,,,,,,,,,,,,
98.0,,70.0,72.0,,,,,,,,,,,,,,,,,,,,,,
99.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,0.0,,,,,,0,,,,x,,,,,,,,,,,,,,
101.0,,85.0,90.0,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,,,0,,,,,x,,,,,,,,,,,,,
103.0,,,,,,,0,,,,,x,,,,,,,,,,,,,
104.0,0.0,,,,,,0,x,,,,,,,,,,,,,,,,,
105.0,,113.0,114.0,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,,,0,x,,,,,,,,,,,,,,,,,
107.0,,,,,,,0,,,,x,,,,,,,,,,,,,,
108.0,,,,,,,0,,,,x,,,,,,,,,,,,,,
109.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,0,,,,,x,,,,,,,,,,,,,
111.0,0.0,,,,,,0,,,,x,,,,,,,,,,,,,,
112.0,,104.0,116.0,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,,,,0,,,,x,,,,,,,,,,,,,,
114.0,s,115.0,,,,,,,,,,,,,,,,,,,,,,,
115.0,s,,,,,,0,,,,x,,,,,,,,,,,,,,
116.0,,,,,,,0,,,,,x,,,,,,,,,,,,,
117.0,f,,,,,,,,,,,,,,,,,,,,,,,,
