page,illo,c1,c2,c3,details,death,bad,ok,good,win,,,,,,,,,,,,,,,
98.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,111.0,33.0,,,,,,,,,,,,,,,,,,,,,,
100.0,f,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,0,,,,,,,,,,,,,,,,,,,,
102.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,
103.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,
105.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,
106.0,f,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,,0,,,,,,,,,,,,,,,,,,,,
108.0,,80.0,71.0,,,,,,,,,,,,,,,,,,,,,,
109.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,0,,,,,,,,,,,,,,,,,,,,
112.0,,,,,0,,,,,,,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,0,,,,,,,,,,,,,,,,,,,,
115.0,,40.0,10.0,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,0,,,,,,,,,,,,,,,,,,,,
