num,ref_page,note_start_page,note_end_page,note_lines_per_page
148.0,380.0,1029.0,1029.0,15.0
149.0,382.0,1029.0,1029.0,9.0
150.0,382.0,1029.0,1029.0,5.0
151.0,383.0,1029.0,1029.0,1.0
152.0,386.0,1029.0,1029.0,2.0
153.0,390.0,1029.0,1029.0,3.0
154.0,396.0,1030.0,1030.0,1.0
155.0,397.0,1030.0,1030.0,2.0
156.0,402.0,1030.0,1030.0,15.0
157.0,403.0,1030.0,1030.0,3.0
158.0,409.0,1030.0,1030.0,2.0
159.0,409.0,1030.0,1030.0,4.0
160.0,410.0,1030.0,1030.0,14.0
161.0,411.0,1030.0,1030.0,2.0
162.0,412.0,1030.0,1031.0,"6,9"
163.0,413.0,1031.0,1031.0,2.0
164.0,416.0,1031.0,1031.0,4.0
165.0,417.0,1031.0,1031.0,3.0
166.0,417.0,1031.0,1031.0,3.0
167.0,417.0,1031.0,1031.0,7.0
168.0,418.0,1031.0,1031.0,10.0
169.0,420.0,1031.0,1031.0,5.0
170.0,423.0,1031.0,1031.0,1.0
171.0,425.0,1031.0,1031.0,1.0
172.0,425.0,1031.0,1031.0,1.0
173.0,428.0,1031.0,1031.0,1.0
174.0,428.0,1032.0,1032.0,1.0
175.0,431.0,1032.0,1032.0,2.0
176.0,438.0,1032.0,1032.0,14.0
177.0,439.0,1032.0,1032.0,4.0
178.0,446.0,1032.0,1032.0,3.0
179.0,449.0,1032.0,1032.0,3.0
180.0,450.0,1032.0,1032.0,9.0
181.0,456.0,1032.0,1032.0,1.0
182.0,456.0,1032.0,1032.0,1.0
183.0,456.0,1032.0,1032.0,2.0
184.0,457.0,1032.0,1032.0,8.0
185.0,457.0,1033.0,1033.0,3.0
186.0,457.0,1033.0,1033.0,9.0
187.0,458.0,1033.0,1033.0,2.0
188.0,461.0,1033.0,1033.0,3.0
189.0,462.0,1033.0,1033.0,6.0
190.0,463.0,1033.0,1033.0,6.0
191.0,463.0,1033.0,1033.0,3.0
192.0,464.0,1033.0,1033.0,1.0
193.0,465.0,1033.0,1033.0,3.0
194.0,465.0,1033.0,1033.0,1.0
195.0,468.0,1033.0,1033.0,4.0
196.0,468.0,1033.0,1033.0,2.0
197.0,469.0,1033.0,1033.0,1.0
198.0,472.0,1033.0,1034.0,"3,2"
199.0,475.0,1034.0,1034.0,3.0
200.0,477.0,1034.0,1034.0,2.0
201.0,477.0,1034.0,1034.0,3.0
202.0,478.0,1034.0,1034.0,5.0
203.0,480.0,1034.0,1034.0,1.0
204.0,483.0,1034.0,1034.0,10.0
205.0,483.0,1034.0,1034.0,4.0
206.0,484.0,1034.0,1034.0,3.0
207.0,487.0,1034.0,1034.0,2.0
208.0,491.0,1034.0,1034.0,5.0
209.0,509.0,1034.0,1035.0,"8,26"
210.0,510.0,1035.0,1035.0,3.0
211.0,511.0,1035.0,1035.0,9.0
212.0,512.0,1035.0,1035.0,4.0
