num,ref_page,note_start_page,note_end_page,note_lines_per_page
278,686,1052,1052,3
279,688,1052,1052,3
280,692,1053,1053,3
281,695,1053,1053,5
282,696,1053,1053,2
283,697,1053,1053,1
284,698,1053,1053,3
285,699,1053,1053,3
286,699,1053,1053,5
287,702,1053,1053,3
288,703,1053,1053,1
289,704,1053,1053,4
290,705,1053,1053,5
291,707,1053,1053,10
292,707,1053,1054,20
293,708,1054,1054,5
294,709,1054,1054,2
295,709,1054,1054,1
296,711,1054,1054,2
297,712,1054,1054,5
298,713,1054,1054,5
299,715,1054,1054,1
300,721,1054,1054,3
301,722,1054,1055,10
302,722,1055,1055,11
303,725,1055,1055,6
304,732,1055,1062,370
305,739,1062,1062,1
306,740,1062,1062,3
307,741,1062,1062,5
308,742,1062,1062,1
309,743,1062,1062,5
310,743,1062,1062,1
311,748,1062,1062,1
312,750,1062,1062,4
313,751,1062,1062,2
314,753,1062,1062,1
315,754,1062,1062,1
316,759,1062,1063,8
317,760,1063,1063,2
318,761,1063,1063,1
319,762,1063,1063,1
320,770,1063,1063,1
321,785,1063,1066,171
322,786,1066,1066,3
323,787,1066,1066,2
324,787,1066,1072,324
325,787,1072,1072,2
326,788,1072,1072,1
327,788,1072,1072,2
328,788,1072,1072,1
329,788,1072,1072,2
330,790,1072,1072,1
331,791,1072,1072,4
332,795,1073,1076,166
333,795,1076,1076,3
334,796,1076,1076,4
335,803,1076,1076,2
336,803,1076,1076,1
337,814,1076,1076,4
338,814,1076,1076,2
339,815,1076,1076,1
340,815,1076,1076,1
341,818,1076,1076,2
342,835,1076,1076,1
343,838,1076,1076,2
344,851,1076,1076,3
345,851,1076,1076,2
346,853,1076,1076,2
347,855,1076,1076,2
348,856,1076,1076,1
349,857,1076,1076,1
350,863,1077,1077,2
351,863,1077,1077,2
352,873,1077,1077,6
353,874,1077,1077,2
354,886,1077,1077,1
355,887,1077,1077,1
356,887,1077,1077,1
357,887,1077,1077,1
358,887,1077,1077,3
359,887,1077,1077,2
360,888,1077,1077,2
361,893,1077,1077,2
362,903,1077,1077,2
363,904,1077,1077,4
364,904,1077,1077,2
365,906,1077,1077,1
366,911,1077,1077,8
367,912,1077,1078,6
368,913,1078,1078,3
369,914,1078,1078,12
370,915,1078,1078,1
371,915,1078,1078,1
372,917,1078,1078,2
373,921,1078,1078,2
374,924,1078,1078,2
375,928,1078,1078,2
376,931,1078,1078,2
377,935,1078,1078,2
378,944,1078,1078,1
379,947,1078,1078,1
380,949,1078,1078,6
381,951,1078,1078,5
382,957,1079,1079,5
383,961,1079,1079,2
384,969,1079,1079,2
385,973,1079,1079,2
386,978,1079,1079,2
387,979,1079,1079,6
388,979,1079,1079,1
